color,type,pack
orange,plain,1
red,plain,1
green,plain,1
red,plain,1
yellow,plain,1
blue,plain,1
yellow,plain,1
green,plain,1
green,plain,1
yellow,plain,1
red,plain,1
green,plain,1
brown,plain,1
green,plain,1
brown,plain,1
yellow,plain,1
orange,plain,1
green,plain,1
brown,plain,1
yellow,plain,1
green,plain,1
orange,plain,1
orange,plain,1
brown,plain,1
green,plain,1
blue,plain,1
green,plain,1
blue,plain,1
blue,plain,1
red,plain,1
red,plain,1
blue,plain,1
blue,plain,1
blue,plain,1
yellow,plain,1
blue,plain,1
red,plain,1
red,plain,1
orange,plain,1
brown,plain,1
green,plain,1
green,plain,1
orange,plain,1
orange,plain,1
green,plain,1
blue,plain,1
blue,plain,1
blue,plain,1
yellow,plain,1
blue,plain,1
orange,plain,1
brown,plain,1
orange,plain,1
blue,plain,1
yellow,plain,1
brown,plain,1
orange,plain,2
orange,plain,2
red,plain,2
yellow,plain,2
green,plain,2
green,plain,2
orange,plain,2
yellow,plain,2
blue,plain,2
brown,plain,2
yellow,plain,2
blue,plain,2
green,plain,2
red,plain,2
brown,plain,2
brown,plain,2
orange,plain,2
blue,plain,2
green,plain,2
orange,plain,2
orange,plain,2
red,plain,2
red,plain,2
blue,plain,2
green,plain,2
yellow,plain,2
green,plain,2
orange,plain,2
yellow,plain,2
green,plain,2
red,plain,2
blue,plain,2
green,plain,2
orange,plain,2
orange,plain,2
green,plain,2
orange,plain,2
red,plain,2
red,plain,2
blue,plain,2
green,plain,2
green,plain,2
orange,plain,2
red,plain,2
green,plain,2
orange,plain,2
red,plain,2
orange,plain,2
blue,plain,2
red,plain,2
blue,plain,2
green,plain,2
yellow,plain,2
orange,plain,3
yellow,plain,3
red,plain,3
orange,plain,3
red,plain,3
brown,plain,3
orange,plain,3
green,plain,3
brown,plain,3
blue,plain,3
green,plain,3
red,plain,3
red,plain,3
yellow,plain,3
blue,plain,3
brown,plain,3
yellow,plain,3
yellow,plain,3
green,plain,3
brown,plain,3
red,plain,3
yellow,plain,3
yellow,plain,3
orange,plain,3
green,plain,3
orange,plain,3
blue,plain,3
brown,plain,3
green,plain,3
blue,plain,3
orange,plain,3
yellow,plain,3
orange,plain,3
brown,plain,3
blue,plain,3
yellow,plain,3
green,plain,3
brown,plain,3
green,plain,3
green,plain,3
blue,plain,3
yellow,plain,3
green,plain,3
orange,plain,3
yellow,plain,3
blue,plain,3
brown,plain,3
green,plain,3
green,plain,3
orange,plain,3
brown,plain,3
brown,plain,3
orange,plain,3
blue,plain,3
brown,plain,4
blue,plain,4
yellow,plain,4
blue,plain,4
orange,plain,4
blue,plain,4
red,plain,4
orange,plain,4
blue,plain,4
orange,plain,4
yellow,plain,4
brown,plain,4
red,plain,4
brown,plain,4
green,plain,4
green,plain,4
red,plain,4
green,plain,4
orange,plain,4
red,plain,4
brown,plain,4
blue,plain,4
blue,plain,4
green,plain,4
orange,plain,4
yellow,plain,4
blue,plain,4
orange,plain,4
orange,plain,4
orange,plain,4
orange,plain,4
orange,plain,4
red,plain,4
yellow,plain,4
green,plain,4
yellow,plain,4
yellow,plain,4
blue,plain,4
blue,plain,4
yellow,plain,4
blue,plain,4
orange,plain,4
red,plain,4
green,plain,4
orange,plain,4
yellow,plain,4
blue,plain,4
red,plain,4
orange,plain,4
blue,plain,4
yellow,plain,4
blue,plain,4
orange,plain,4
blue,plain,4
brown,plain,5
blue,plain,5
red,plain,5
blue,plain,5
red,plain,5
orange,plain,5
brown,plain,5
orange,plain,5
green,plain,5
red,plain,5
yellow,plain,5
orange,plain,5
green,plain,5
orange,plain,5
orange,plain,5
red,plain,5
green,plain,5
orange,plain,5
orange,plain,5
red,plain,5
green,plain,5
blue,plain,5
brown,plain,5
yellow,plain,5
yellow,plain,5
blue,plain,5
orange,plain,5
red,plain,5
green,plain,5
brown,plain,5
brown,plain,5
blue,plain,5
yellow,plain,5
yellow,plain,5
green,plain,5
orange,plain,5
green,plain,5
brown,plain,5
brown,plain,5
green,plain,5
orange,plain,5
brown,plain,5
green,plain,5
orange,plain,5
red,plain,5
yellow,plain,5
red,plain,5
blue,plain,5
yellow,plain,5
green,plain,5
orange,plain,5
yellow,plain,5
green,plain,6
green,plain,6
yellow,plain,6
blue,plain,6
yellow,plain,6
green,plain,6
yellow,plain,6
green,plain,6
yellow,plain,6
blue,plain,6
yellow,plain,6
blue,plain,6
red,plain,6
orange,plain,6
yellow,plain,6
blue,plain,6
yellow,plain,6
orange,plain,6
brown,plain,6
red,plain,6
brown,plain,6
green,plain,6
brown,plain,6
brown,plain,6
blue,plain,6
green,plain,6
blue,plain,6
green,plain,6
yellow,plain,6
green,plain,6
red,plain,6
green,plain,6
brown,plain,6
yellow,plain,6
yellow,plain,6
brown,plain,6
orange,plain,6
brown,plain,6
orange,plain,6
orange,plain,6
brown,plain,6
green,plain,6
green,plain,6
yellow,plain,6
green,plain,6
orange,plain,6
blue,plain,6
yellow,plain,6
red,plain,6
yellow,plain,6
brown,plain,6
brown,plain,6
green,plain,6
orange,plain,6
brown,plain,6
green,plain,7
blue,plain,7
brown,plain,7
red,plain,7
orange,plain,7
green,plain,7
yellow,plain,7
blue,plain,7
yellow,plain,7
red,plain,7
orange,plain,7
yellow,plain,7
green,plain,7
brown,plain,7
green,plain,7
yellow,plain,7
green,plain,7
orange,plain,7
brown,plain,7
green,plain,7
brown,plain,7
yellow,plain,7
green,plain,7
brown,plain,7
blue,plain,7
green,plain,7
yellow,plain,7
blue,plain,7
blue,plain,7
blue,plain,7
green,plain,7
red,plain,7
brown,plain,7
red,plain,7
brown,plain,7
green,plain,7
orange,plain,7
orange,plain,7
orange,plain,7
blue,plain,7
orange,plain,7
orange,plain,7
red,plain,7
blue,plain,7
green,plain,7
red,plain,7
green,plain,7
green,plain,7
yellow,plain,7
yellow,plain,7
red,plain,7
yellow,plain,7
green,plain,8
red,plain,8
brown,plain,8
green,plain,8
yellow,plain,8
orange,plain,8
blue,plain,8
red,plain,8
orange,plain,8
brown,plain,8
blue,plain,8
brown,plain,8
brown,plain,8
brown,plain,8
brown,plain,8
orange,plain,8
yellow,plain,8
orange,plain,8
blue,plain,8
yellow,plain,8
yellow,plain,8
red,plain,8
yellow,plain,8
blue,plain,8
brown,plain,8
blue,plain,8
blue,plain,8
blue,plain,8
blue,plain,8
green,plain,8
orange,plain,8
brown,plain,8
brown,plain,8
yellow,plain,8
green,plain,8
blue,plain,8
yellow,plain,8
green,plain,8
brown,plain,8
blue,plain,8
orange,plain,8
orange,plain,8
red,plain,8
red,plain,8
blue,plain,8
green,plain,8
red,plain,8
red,plain,8
yellow,plain,8
red,plain,8
yellow,plain,8
orange,plain,8
blue,plain,8
brown,plain,9
blue,plain,9
green,plain,9
yellow,plain,9
orange,plain,9
red,plain,9
yellow,plain,9
red,plain,9
blue,plain,9
orange,plain,9
orange,plain,9
green,plain,9
orange,plain,9
orange,plain,9
green,plain,9
brown,plain,9
orange,plain,9
brown,plain,9
blue,plain,9
green,plain,9
green,plain,9
green,plain,9
orange,plain,9
red,plain,9
yellow,plain,9
brown,plain,9
orange,plain,9
blue,plain,9
red,plain,9
brown,plain,9
red,plain,9
brown,plain,9
red,plain,9
green,plain,9
green,plain,9
green,plain,9
blue,plain,9
brown,plain,9
yellow,plain,9
orange,plain,9
orange,plain,9
yellow,plain,9
brown,plain,9
green,plain,9
red,plain,9
orange,plain,9
green,plain,9
brown,plain,9
orange,plain,9
yellow,plain,9
orange,plain,9
blue,plain,9
red,plain,9
orange,plain,9
green,plain,9
red,plain,10
brown,plain,10
red,plain,10
red,plain,10
yellow,plain,10
brown,plain,10
yellow,plain,10
orange,plain,10
green,plain,10
brown,plain,10
green,plain,10
orange,plain,10
orange,plain,10
orange,plain,10
green,plain,10
yellow,plain,10
green,plain,10
blue,plain,10
yellow,plain,10
green,plain,10
orange,plain,10
red,plain,10
blue,plain,10
orange,plain,10
yellow,plain,10
red,plain,10
orange,plain,10
brown,plain,10
green,plain,10
red,plain,10
blue,plain,10
orange,plain,10
brown,plain,10
brown,plain,10
red,plain,10
orange,plain,10
green,plain,10
green,plain,10
red,plain,10
brown,plain,10
red,plain,10
red,plain,10
brown,plain,10
yellow,plain,10
green,plain,10
red,plain,10
yellow,plain,10
green,plain,10
blue,plain,10
blue,plain,10
orange,plain,10
green,plain,10
blue,plain,10
green,plain,10
blue,plain,10
green,plain,11
green,plain,11
brown,plain,11
red,plain,11
brown,plain,11
blue,plain,11
orange,plain,11
brown,plain,11
red,plain,11
red,plain,11
orange,plain,11
brown,plain,11
red,plain,11
red,plain,11
brown,plain,11
orange,plain,11
brown,plain,11
blue,plain,11
blue,plain,11
green,plain,11
blue,plain,11
blue,plain,11
blue,plain,11
brown,plain,11
orange,plain,11
red,plain,11
red,plain,11
orange,plain,11
blue,plain,11
yellow,plain,11
brown,plain,11
green,plain,11
red,plain,11
blue,plain,11
blue,plain,11
blue,plain,11
green,plain,11
blue,plain,11
brown,plain,11
yellow,plain,11
green,plain,11
orange,plain,11
brown,plain,11
orange,plain,11
blue,plain,11
red,plain,11
blue,plain,11
orange,plain,11
green,plain,11
blue,plain,11
green,plain,11
yellow,plain,11
blue,plain,11
blue,plain,11
green,plain,12
green,plain,12
yellow,plain,12
blue,plain,12
brown,plain,12
blue,plain,12
brown,plain,12
blue,plain,12
yellow,plain,12
blue,plain,12
yellow,plain,12
green,plain,12
blue,plain,12
green,plain,12
blue,plain,12
yellow,plain,12
orange,plain,12
orange,plain,12
green,plain,12
brown,plain,12
orange,plain,12
green,plain,12
orange,plain,12
blue,plain,12
brown,plain,12
green,plain,12
brown,plain,12
orange,plain,12
green,plain,12
blue,plain,12
orange,plain,12
yellow,plain,12
brown,plain,12
green,plain,12
green,plain,12
green,plain,12
yellow,plain,12
blue,plain,12
green,plain,12
red,plain,12
blue,plain,12
yellow,plain,12
blue,plain,12
red,plain,12
brown,plain,12
orange,plain,12
blue,plain,12
orange,plain,12
green,plain,12
orange,plain,12
orange,plain,12
blue,plain,12
yellow,plain,12
blue,plain,12
yellow,plain,13
blue,plain,13
yellow,plain,13
orange,plain,13
green,plain,13
red,plain,13
blue,plain,13
red,plain,13
blue,plain,13
blue,plain,13
red,plain,13
red,plain,13
brown,plain,13
orange,plain,13
red,plain,13
brown,plain,13
red,plain,13
green,plain,13
red,plain,13
blue,plain,13
brown,plain,13
green,plain,13
blue,plain,13
orange,plain,13
blue,plain,13
red,plain,13
yellow,plain,13
green,plain,13
blue,plain,13
blue,plain,13
blue,plain,13
green,plain,13
yellow,plain,13
blue,plain,13
yellow,plain,13
red,plain,13
orange,plain,13
green,plain,13
green,plain,13
green,plain,13
orange,plain,13
yellow,plain,13
red,plain,13
blue,plain,13
red,plain,13
orange,plain,13
brown,plain,13
orange,plain,13
orange,plain,13
red,plain,13
blue,plain,13
green,plain,13
blue,plain,14
red,plain,14
yellow,plain,14
brown,plain,14
blue,plain,14
orange,plain,14
orange,plain,14
red,plain,14
red,plain,14
blue,plain,14
blue,plain,14
brown,plain,14
yellow,plain,14
orange,plain,14
yellow,plain,14
green,plain,14
blue,plain,14
green,plain,14
red,plain,14
orange,plain,14
red,plain,14
blue,plain,14
orange,plain,14
brown,plain,14
blue,plain,14
orange,plain,14
orange,plain,14
green,plain,14
yellow,plain,14
orange,plain,14
yellow,plain,14
red,plain,14
green,plain,14
blue,plain,14
yellow,plain,14
orange,plain,14
yellow,plain,14
green,plain,14
red,plain,14
blue,plain,14
red,plain,14
green,plain,14
orange,plain,14
orange,plain,14
yellow,plain,14
blue,plain,14
blue,plain,14
red,plain,14
yellow,plain,14
green,plain,14
brown,plain,14
yellow,plain,14
green,plain,14
brown,plain,14
brown,plain,14
red,plain,15
orange,plain,15
red,plain,15
green,plain,15
red,plain,15
brown,plain,15
green,plain,15
brown,plain,15
blue,plain,15
green,plain,15
yellow,plain,15
brown,plain,15
orange,plain,15
brown,plain,15
yellow,plain,15
blue,plain,15
orange,plain,15
green,plain,15
orange,plain,15
red,plain,15
orange,plain,15
blue,plain,15
blue,plain,15
yellow,plain,15
blue,plain,15
red,plain,15
blue,plain,15
blue,plain,15
green,plain,15
brown,plain,15
brown,plain,15
orange,plain,15
blue,plain,15
green,plain,15
brown,plain,15
green,plain,15
brown,plain,15
blue,plain,15
red,plain,15
red,plain,15
red,plain,15
blue,plain,15
red,plain,15
yellow,plain,15
red,plain,15
orange,plain,15
green,plain,15
brown,plain,15
green,plain,15
orange,plain,15
blue,plain,15
blue,plain,15
brown,plain,15
brown,plain,15
brown,plain,15
orange,plain,16
yellow,plain,16
brown,plain,16
orange,plain,16
brown,plain,16
red,plain,16
orange,plain,16
green,plain,16
orange,plain,16
yellow,plain,16
brown,plain,16
blue,plain,16
red,plain,16
green,plain,16
yellow,plain,16
orange,plain,16
red,plain,16
orange,plain,16
brown,plain,16
orange,plain,16
brown,plain,16
yellow,plain,16
blue,plain,16
red,plain,16
blue,plain,16
green,plain,16
orange,plain,16
orange,plain,16
blue,plain,16
red,plain,16
green,plain,16
brown,plain,16
green,plain,16
orange,plain,16
blue,plain,16
green,plain,16
green,plain,16
orange,plain,16
red,plain,16
yellow,plain,16
blue,plain,16
green,plain,16
blue,plain,16
green,plain,16
orange,plain,16
yellow,plain,16
yellow,plain,16
yellow,plain,16
blue,plain,16
yellow,plain,16
orange,plain,16
green,plain,16
orange,plain,16
brown,plain,17
yellow,plain,17
yellow,plain,17
green,plain,17
orange,plain,17
green,plain,17
orange,plain,17
brown,plain,17
yellow,plain,17
yellow,plain,17
orange,plain,17
brown,plain,17
orange,plain,17
brown,plain,17
blue,plain,17
blue,plain,17
green,plain,17
red,plain,17
blue,plain,17
brown,plain,17
green,plain,17
green,plain,17
blue,plain,17
blue,plain,17
orange,plain,17
yellow,plain,17
blue,plain,17
orange,plain,17
orange,plain,17
red,plain,17
brown,plain,17
brown,plain,17
yellow,plain,17
orange,plain,17
blue,plain,17
red,plain,17
brown,plain,17
orange,plain,17
yellow,plain,17
red,plain,17
blue,plain,17
yellow,plain,17
orange,plain,17
blue,plain,17
yellow,plain,17
green,plain,17
orange,plain,17
blue,plain,17
blue,plain,17
blue,plain,17
yellow,plain,17
blue,plain,17
red,plain,17
blue,plain,17
red,plain,17
orange,plain,18
green,plain,18
orange,plain,18
blue,plain,18
brown,plain,18
red,plain,18
blue,plain,18
orange,plain,18
orange,plain,18
brown,plain,18
brown,plain,18
brown,plain,18
red,plain,18
orange,plain,18
orange,plain,18
blue,plain,18
orange,plain,18
yellow,plain,18
red,plain,18
blue,plain,18
blue,plain,18
orange,plain,18
green,plain,18
blue,plain,18
orange,plain,18
green,plain,18
blue,plain,18
orange,plain,18
red,plain,18
green,plain,18
brown,plain,18
red,plain,18
yellow,plain,18
yellow,plain,18
yellow,plain,18
green,plain,18
red,plain,18
brown,plain,18
orange,plain,18
orange,plain,18
blue,plain,18
orange,plain,18
brown,plain,18
red,plain,18
green,plain,18
blue,plain,18
green,plain,18
blue,plain,18
green,plain,18
red,plain,18
orange,plain,18
green,plain,18
blue,plain,18
orange,plain,18
blue,plain,18
yellow,plain,18
orange,plain,19
orange,plain,19
yellow,plain,19
green,plain,19
yellow,plain,19
yellow,plain,19
yellow,plain,19
yellow,plain,19
yellow,plain,19
brown,plain,19
red,plain,19
green,plain,19
orange,plain,19
yellow,plain,19
orange,plain,19
orange,plain,19
yellow,plain,19
red,plain,19
yellow,plain,19
blue,plain,19
blue,plain,19
orange,plain,19
yellow,plain,19
brown,plain,19
blue,plain,19
blue,plain,19
blue,plain,19
brown,plain,19
blue,plain,19
blue,plain,19
orange,plain,19
yellow,plain,19
yellow,plain,19
red,plain,19
yellow,plain,19
green,plain,19
orange,plain,19
blue,plain,19
yellow,plain,19
orange,plain,19
blue,plain,19
red,plain,19
brown,plain,19
brown,plain,19
brown,plain,19
orange,plain,19
green,plain,19
orange,plain,19
blue,plain,19
brown,plain,19
blue,plain,19
blue,plain,19
blue,plain,19
green,plain,19
yellow,plain,20
blue,plain,20
brown,plain,20
yellow,plain,20
orange,plain,20
yellow,plain,20
orange,plain,20
green,plain,20
red,plain,20
green,plain,20
green,plain,20
blue,plain,20
yellow,plain,20
brown,plain,20
red,plain,20
green,plain,20
orange,plain,20
yellow,plain,20
blue,plain,20
red,plain,20
red,plain,20
green,plain,20
orange,plain,20
red,plain,20
blue,plain,20
orange,plain,20
yellow,plain,20
orange,plain,20
yellow,plain,20
blue,plain,20
blue,plain,20
green,plain,20
green,plain,20
brown,plain,20
red,plain,20
brown,plain,20
yellow,plain,20
orange,plain,20
brown,plain,20
green,plain,20
brown,plain,20
brown,plain,20
orange,plain,20
blue,plain,20
blue,plain,20
blue,plain,20
blue,plain,20
blue,plain,20
red,plain,20
green,plain,20
yellow,plain,20
blue,plain,20
green,plain,20
green,plain,20
green,plain,20
red,plain,20
brown,plain,20
yellow,plain,21
green,plain,21
yellow,plain,21
blue,plain,21
green,plain,21
green,plain,21
brown,plain,21
red,plain,21
blue,plain,21
green,plain,21
brown,plain,21
orange,plain,21
green,plain,21
blue,plain,21
orange,plain,21
brown,plain,21
green,plain,21
orange,plain,21
green,plain,21
blue,plain,21
brown,plain,21
red,plain,21
orange,plain,21
green,plain,21
orange,plain,21
green,plain,21
red,plain,21
red,plain,21
blue,plain,21
orange,plain,21
green,plain,21
orange,plain,21
yellow,plain,21
green,plain,21
green,plain,21
orange,plain,21
green,plain,21
orange,plain,21
brown,plain,21
orange,plain,21
blue,plain,21
orange,plain,21
yellow,plain,21
orange,plain,21
green,plain,21
brown,plain,21
green,plain,21
red,plain,21
brown,plain,21
green,plain,21
blue,plain,21
brown,plain,21
brown,plain,21
green,plain,21
red,plain,21
red,plain,22
red,plain,22
brown,plain,22
brown,plain,22
orange,plain,22
green,plain,22
green,plain,22
blue,plain,22
blue,plain,22
brown,plain,22
yellow,plain,22
green,plain,22
red,plain,22
orange,plain,22
blue,plain,22
blue,plain,22
yellow,plain,22
orange,plain,22
orange,plain,22
red,plain,22
blue,plain,22
green,plain,22
green,plain,22
green,plain,22
blue,plain,22
orange,plain,22
yellow,plain,22
brown,plain,22
orange,plain,22
blue,plain,22
brown,plain,22
red,plain,22
blue,plain,22
orange,plain,22
brown,plain,22
brown,plain,22
blue,plain,22
red,plain,22
blue,plain,22
green,plain,22
orange,plain,22
yellow,plain,22
yellow,plain,22
orange,plain,22
green,plain,22
green,plain,22
orange,plain,22
red,plain,22
red,plain,22
brown,plain,22
yellow,plain,22
yellow,plain,22
blue,plain,22
yellow,plain,22
green,plain,23
green,plain,23
blue,plain,23
green,plain,23
green,plain,23
yellow,plain,23
orange,plain,23
red,plain,23
green,plain,23
orange,plain,23
orange,plain,23
blue,plain,23
red,plain,23
orange,plain,23
blue,plain,23
green,plain,23
blue,plain,23
orange,plain,23
yellow,plain,23
brown,plain,23
yellow,plain,23
green,plain,23
green,plain,23
blue,plain,23
red,plain,23
orange,plain,23
blue,plain,23
orange,plain,23
orange,plain,23
red,plain,23
red,plain,23
orange,plain,23
green,plain,23
orange,plain,23
yellow,plain,23
orange,plain,23
orange,plain,23
orange,plain,23
red,plain,23
orange,plain,23
blue,plain,23
brown,plain,23
blue,plain,23
brown,plain,23
yellow,plain,23
orange,plain,23
brown,plain,23
blue,plain,23
green,plain,23
orange,plain,23
green,plain,23
blue,plain,23
orange,plain,23
red,plain,23
green,plain,23
blue,plain,24
yellow,plain,24
blue,plain,24
green,plain,24
blue,plain,24
green,plain,24
yellow,plain,24
blue,plain,24
red,plain,24
brown,plain,24
brown,plain,24
red,plain,24
yellow,plain,24
blue,plain,24
brown,plain,24
blue,plain,24
red,plain,24
yellow,plain,24
orange,plain,24
brown,plain,24
brown,plain,24
brown,plain,24
brown,plain,24
brown,plain,24
red,plain,24
blue,plain,24
yellow,plain,24
green,plain,24
blue,plain,24
green,plain,24
orange,plain,24
brown,plain,24
yellow,plain,24
orange,plain,24
yellow,plain,24
orange,plain,24
yellow,plain,24
green,plain,24
orange,plain,24
green,plain,24
yellow,plain,24
green,plain,24
yellow,plain,24
blue,plain,24
blue,plain,24
orange,plain,24
orange,plain,24
green,plain,24
yellow,plain,24
brown,plain,24
orange,plain,24
green,plain,24
orange,plain,24
orange,plain,24
brown,plain,24
green,plain,24
blue,plain,24
green,plain,25
brown,plain,25
green,plain,25
green,plain,25
blue,plain,25
red,plain,25
red,plain,25
green,plain,25
blue,plain,25
yellow,plain,25
orange,plain,25
green,plain,25
yellow,plain,25
orange,plain,25
blue,plain,25
green,plain,25
blue,plain,25
brown,plain,25
green,plain,25
