date,price,year,,,,,,,,,,,,
28-Oct-19,2.469,current,,,,,,,,,,,,
4-Nov-19,2.485,current,,,,,,,,,,,,
11-Nov-19,2.493,current,,,,,,,,,,,,
18-Nov-19,2.473,current,,,,,,,,,,,,
25-Nov-19,2.469,current,,,,,,,,,,,,
2-Dec-19,2.485,current,,,,,,,,,,,,
9-Dec-19,2.478,current,,,,,,,,,,,,
16-Dec-19,2.448,current,,,,,,,,,,,,
23-Dec-19,2.447,current,,,,,,,,,,,,
30-Dec-19,2.488,current,,,,,,,,,,,,
6-Jan-20,2.494,current,,,,,,,,,,,,
13-Jan-20,2.482,current,,,,,,,,,,,,
20-Jan-20,2.448,current,,,,,,,,,,,,
27-Jan-20,2.412,current,,,,,,,,,,,,
3-Feb-20,2.358,current,,,,,,,,,,,,
10-Feb-20,2.324,current,,,,,,,,,,,,
17-Feb-20,2.337,current,,,,,,,,,,,,
24-Feb-20,2.373,current,,,,,,,,,,,,
2-Mar-20,2.324,current,,,,,,,,,,,,
9-Mar-20,2.272,current,,,,,,,,,,,,
16-Mar-20,2.139,current,,,,,,,,,,,,
23-Mar-20,2.007,current,,,,,,,,,,,,
30-Mar-20,1.886,current,,,,,,,,,,,,
6-Apr-20,1.8,current,,,,,,,,,,,,
13-Apr-20,1.735,current,,,,,,,,,,,,
27-Oct-08,2.589,previous,,,,,,,,,,,,
3-Nov-08,2.34,previous,,,,,,,,,,,,
10-Nov-08,2.17,previous,,,,,,,,,,,,
17-Nov-08,2.027,previous,,,,,,,,,,,,
24-Nov-08,1.857,previous,,,,,,,,,,,,
1-Dec-08,1.79,previous,,,,,,,,,,,,
8-Dec-08,1.681,previous,,,,,,,,,,,,
15-Dec-08,1.648,previous,,,,,,,,,,,,
22-Dec-08,1.635,previous,,,,,,,,,,,,
29-Dec-08,1.59,previous,,,,,,,,,,,,
5-Jan-09,1.672,previous,,,,,,,,,,,,
12-Jan-09,1.772,previous,,,,,,,,,,,,
19-Jan-09,1.832,previous,,,,,,,,,,,,
26-Jan-09,1.813,previous,,,,,,,,,,,,
2-Feb-09,1.871,previous,,,,,,,,,,,,
9-Feb-09,1.897,previous,,,,,,,,,,,,
16-Feb-09,1.931,previous,,,,,,,,,,,,
23-Feb-09,1.868,previous,,,,,,,,,,,,
2-Mar-09,1.91,previous,,,,,,,,,,,,
9-Mar-09,1.918,previous,,,,,,,,,,,,
16-Mar-09,1.885,previous,,,,,,,,,,,,
23-Mar-09,1.944,previous,,,,,,,,,,,,
30-Mar-09,2.03,previous,,,,,,,,,,,,
6-Apr-09,2.011,previous,,,,,,,,,,,,
13-Apr-09,2.025,previous,,,,,,,,,,,,