Timestamp,What make is your car/truck?,Gender,How many miles do you live from the Lone Tree Campus?,Favorite ice cream flavor,How much do you pay for rent per month to the nearest dollar?,What is your major?,How tall are you in inches? (Give your answer to the nearest inch),Opinion of winter
2019/01/22 3:04:43 PM MST,Chevrolet,Female,5,Butter Pecan,500,Dental Hygiene,63,Don't like it
2019/01/22 3:03:20 PM MST,Subaru,Male,1,Butter Pecan,600,I.T.,75,Loved it
2019/01/22 3:03:21 PM MST,Ford,Female,2.4,Chocolate,600,Bio Chem,68,Liked it
2019/01/22 3:02:20 PM MST,Ford,Female,2,Chocolate,600,psychology and sociology,62,Hated it
2019/01/15 8:33:39 PM MST,Ford,Female,2.4,Chocolate Brownie. ,600,Bio Chem,68,Liked it
2019/01/15 10:38:22 PM MST,Toyota,Female,5.2,coffee,0,,66,Loved it
2019/01/22 3:02:57 PM MST,Dodge,Male,8,Cookie Dough,550,Business Econ,72,Liked it
2019/01/22 3:02:28 PM MST,Toyota,Male,5,Cookie Dough,640,Computer Information Systems,72,Hated it
2019/01/14 4:50:06 PM MST,No car/truck,Female,1.5,Cookie Dough,724,Environmental and Sustainability Studies,61,Liked it
2019/01/21 7:38:12 PM MST,Jeep,Male,2,Cookie Dough,600,Pre-health Careers,71,Loved it
2019/01/22 3:06:37 PM MST,Toyota,Male,25,Cookie Dough,200,wildlife law,71,Don't like it
2019/01/22 3:03:08 PM MST,Chevrolet,Male,2,Mint Chocolate Chip,480,alternative energy technology,68,Loved it
2019/01/22 6:10:05 PM MST,Subaru,Female,0.6,Mint Chocolate Chip,1034,Business,66,Loved it
2019/01/22 7:51:36 PM MST,Jeep,Male,50,Mint Chocolate Chip,400,Mathematics ,5.9,Loved it
2019/01/22 3:37:59 PM MST,Dodge,Female,14,Mint Chocolate Chip,0,Nursing,67,Loved it
2019/01/23 12:01:49 PM MST,Buick,Female,1.6,Mint Chocolate Chip,697,Nursing,67,Hated it
2019/01/23 10:52:02 PM MST,Chevrolet,Female,4,Mint Chocolate Chip,400,Nursing,67,Liked it
2019/01/22 3:01:47 PM MST,Subaru,Male,5,none,500,Finance,72,No opinion
2019/01/22 3:30:50 PM MST,Ford,Female,5,Rocky Road,500,Biology,64,No opinion
2019/01/22 3:06:17 PM MST,Honda,Female,10,Rocky Road,500,nursing,60,Loved it
2019/01/15 8:41:28 AM MST,Mercury,Female,14.7,Sherbet,200,Administrative Justice,60,Don't like it
2019/01/22 3:02:17 PM MST,Hyundai,Male,2,Sherbet,550,Computer Science,72,Liked it
2019/01/22 4:33:47 PM MST,Jeep,Female,10,Strawberry and banana ,0,Pre Health,69,Don't like it
2019/01/22 6:02:32 PM MST,Chevrolet,Male,1.6,Vanilla,660,Business Management,74,Loved it