beer,brewery,location,alcohol,calories,carbs
American Amber Lager,Straub Brewery,domestic,0.04,136.00,10.50
American Lager,Straub Brewery,domestic,0.04,132.00,10.50
American Light,Straub Brewery,domestic,0.03,96.00,7.60
Anchor Porter,Anchor,domestic,0.06,209.00,
Anchor Steam,Anchor,domestic,0.05,153.00,16.00
Anheuser Busch Natural Light,Anheuser Busch,domestic,0.04,95.00,3.20
Anheuser Busch Natural Ice,Anheuser Busch,domestic,0.06,157.00,8.90
Aspen Edge,Adolph Coors,domestic,0.04,94.00,2.60
Bard’s Gold (Gluten-Free),Bard’s Tale Beer Co,domestic,0.05,155.00,14.20
Big Sky I.P.A.,Big Sky Brewing,domestic,0.06,195.00,
Big Sky Moose Drool Brown Ale,Big Sky Brewing,domestic,0.05,177.00,15.60
Big Sky Powder Hound (seasonal),Big Sky Brewing,domestic,0.06,195.00,
Big Sky Scape Goat Pale Ale,Big Sky Brewing,domestic,0.05,163.00,13.90
Big Sky Summer Honey Ale (seasonal),Big Sky Brewing,domestic,0.05,154.00,11.60
Big Sky Trout Slayer Ale,Big Sky Brewing,domestic,0.05,163.00,13.90
Blatz Beer,Blatz,domestic,0.05,153.00,12.50
Blatz Light,Blatz,domestic,,,8.50
Blue Moon,Adolph Coors,domestic,0.05,171.00,13.70
Breckenridge Brown Ale,Breckenridge Brewery,domestic,0.06,196.00,21.90
Breckenridge Red Ale,Breckenridge Brewery,domestic,0.06,193.00,21.80
Bud Dry,Budweiser,domestic,0.05,130.00,7.80
Bud Ice,Budweiser,domestic,0.06,123.00,8.90
Bud Ice Light,Budweiser,domestic,0.05,115.00,7.50
Bud Light,Budweiser,domestic,0.04,110.00,6.60
Bud Light Lime,Budweiser,domestic,0.04,116.00,8.00
Bud Light Platinum,Budweiser,domestic,0.06,137.00,4.40
Budweiser,Budweiser,domestic,0.05,145.00,10.60
Budweiser Black Crown,Budweiser,domestic,0.06,146.00,10.00
Budweiser Select,Budweiser,domestic,0.04,99.00,3.10
Budweiser Select 55,Budweiser,domestic,0.02,55.00,1.90
Busch Beer,Anheuser Busch,domestic,0.05,133.00,10.20
Busch Ice,Anheuser Busch,domestic,0.06,169.00,12.50
Busch Light,Anheuser Busch,domestic,0.04,95.00,3.20
Carling Black Label,G. Heileman,domestic,0.04,138.00,12.50
Colt 45 Malt Liquor,G. Heileman,domestic,0.06,174.00,11.10
Coors,MillerCoors,domestic,0.05,149.00,12.20
Coors Light,MillerCoors,domestic,0.04,104.00,5.30
Deschutes Twilight Summer Ale,Deschutes Brewery,domestic,0.05,162.00,9.60
Deschutes Chainbreaker White IPA,Deschutes Brewery,domestic,0.06,180.00,10.80
Deschutes Pinedrops IPA,Deschutes Brewery,domestic,0.07,190.00,11.00
Extra Gold Lager,MillerCoors,domestic,0.05,152.00,12.50
Flying Dog Dog Schwarz,Flying Dog Brewery,domestic,0.08,222.00,14.30
Flying Dog Doggie Style,Flying Dog Brewery,domestic,0.05,158.00,11.40
Flying Dog DogtoberFest,Flying Dog Brewery,domestic,0.06,165.00,12.30
Flying Dog Double Dog,Flying Dog Brewery,domestic,0.12,313.00,16.60
Flying Dog Garde Dog,Flying Dog Brewery,domestic,0.06,150.00,9.30
Flying Dog Gonzo,Flying Dog Brewery,domestic,0.09,271.00,18.90
Flying Dog Horn Dog,Flying Dog Brewery,domestic,0.10,314.00,21.50
Flying Dog In Heat Wheat,Flying Dog Brewery,domestic,0.05,138.00,10.40
Flying Dog K-9 Cruiser,Flying Dog Brewery,domestic,0.07,197.00,10.60
Flying Dog Kerberos Tripel,Flying Dog Brewery,domestic,0.08,238.00,8.60
Flying Dog Old Scratch Amber Ale,Flying Dog Brewery,domestic,0.06,154.00,10.20
Flying Dog Raging Bitch,Flying Dog Brewery,domestic,0.08,221.00,11.60
Flying Dog Road Dog,Flying Dog Brewery,domestic,0.06,163.00,9.90
Flying Dog Snake Dog IPA,Flying Dog Brewery,domestic,0.07,188.00,10.00
Flying Dog Tire Bite Golden Ale,Flying Dog Brewery,domestic,0.05,129.00,6.20
Flying Dog Wild Dog: Coffee Stout,Flying Dog Brewery,domestic,0.10,288.00,20.20
Flying Dog Woody Creek White,Flying Dog Brewery,domestic,0.05,131.00,8.00
Genesee Beer,High Falls Brewing,domestic,0.05,148.00,13.50
Genesee Cream Ale,High Falls Brewing,domestic,0.05,162.00,15.00
Genesee Ice,High Falls Brewing,domestic,0.06,156.00,14.50
Genesee Red,High Falls Brewing,domestic,0.05,148.00,14.00
George Killian’s Irish Red,MillerCoors,domestic,0.05,162.00,14.80
Icehouse,MillerCoors,domestic,0.06,132.00,8.70
Icehouse 5.0,MillerCoors,domestic,0.06,149.00,9.80
Icehouse Light,MillerCoors,domestic,0.04,103.00,5.50
Hamm’s Beer,MillerCoors,domestic,0.05,144.00,12.10
Hamm’s Golden Draft,MillerCoors,domestic,0.05,144.00,12.10
Hamm’s Special Light,MillerCoors,domestic,0.04,110.00,8.30
Keystone Premium,Adolph Coors,domestic,0.04,111.00,5.80
Keystone Light,Adolph Coors,domestic,0.04,103.00,5.00
Keystone Ice,Adolph Coors,domestic,0.06,142.00,5.90
Leinenkugel Honey Weiss,Leinenkugel,domestic,0.05,149.00,12.00
Leinenkugel Northwoods Lager,Leinenkugel,domestic,0.05,163.00,15.30
Leinenkugel Original,Leinenkugel,domestic,0.05,152.00,13.90
Leinenkugel Creamy Dark,Leinenkugel,domestic,0.05,170.00,16.80
Leinenkugel Red,Leinenkugel,domestic,0.05,166.00,16.20
Leinenkugel Sunset Wheat,Leinenkugel,domestic,0.05,165.00,16.00
Leinenkugel Light,Leinenkugel,domestic,0.04,105.00,5.70
Leinenkugel Amber Light,Leinenkugel,domestic,0.04,110.00,7.40
Lowenbrau Dark,,domestic,0.05,160.00,
Lowenbrau Special Beer,,domestic,0.05,160.00,
Magnum Malt Liquor,MillerCoors,domestic,0.06,157.00,11.20
Michael Shea’s,High Falls Brewing,domestic,0.05,145.00,13.00
Michelob Amber Boch,Anheuser Busch,domestic,0.05,166.00,15.00
Michelob Beer,Anheuser Busch,domestic,0.05,155.00,13.30
Michelob Golden Draft,Anheuser Busch,domestic,0.05,152.00,14.10
Michelob Golden Draft Light,Anheuser Busch,domestic,0.04,110.00,7.00
Michelob Honey Lager,Anheuser Busch,domestic,0.05,175.00,17.90
Michelob Light,Anheuser Busch,domestic,0.04,113.00,6.70
Michelob Ultra,Anheuser Busch,domestic,0.04,95.00,2.60
Mickey’s Fine Malt Liquor,MillerCoors,domestic,0.06,157.00,11.20
Mickey’s Ice,MillerCoors,domestic,0.06,157.00,11.80
Miller Chill,MillerCoors,domestic,0.04,110.00,6.50
Miller Genuine Draft,MillerCoors,domestic,0.05,143.00,13.10
Miller Genuine Draft Light,MillerCoors,domestic,0.04,110.00,7.00
Miller Genuine Draft “64”,MillerCoors,domestic,0.03,64.00,2.40
Miller High Life,MillerCoors,domestic,0.05,143.00,13.10
Miller High Life Light,MillerCoors,domestic,0.04,110.00,7.00
Miller Lite,MillerCoors,domestic,0.04,96.00,3.20
Milwaukee’s Best,MillerCoors,domestic,0.04,128.00,11.40
Miller Lite Brewers Collection Amber,MillerCoors,domestic,0.04,110.00,6.20
Miller Lite Brewers Collection Blonde,MillerCoors,domestic,0.04,110.00,6.20
Miller Lite Brewers Collection Wheat,MillerCoors,domestic,0.04,110.00,6.20
Milwaukee’s Best Premium,MillerCoors,domestic,0.04,128.00,11.40
Milwaukee’s Best Light,MillerCoors,domestic,0.04,98.00,3.50
Milwaukee’s Best Ice,MillerCoors,domestic,0.06,144.00,7.30
New Belgium 1554,New Belgium,domestic,0.06,205.00,25.00
New Belgium 2 Below,New Belgium,domestic,0.07,200.00,17.00
New Belgium Abbey,New Belgium,domestic,0.07,200.00,18.00
New Belgium Blue Paddle,New Belgium,domestic,0.05,140.00,14.00
New Belgium Fat Tire,New Belgium,domestic,0.05,160.00,15.00
New Belgium Mothership Wit,New Belgium,domestic,0.05,155.00,15.00
New Belgium Trippel,New Belgium,domestic,0.08,215.00,20.00
New Belgium Sunshine Wheat,New Belgium,domestic,0.05,145.00,13.00
O’Doul’s,Anheuser Busch,domestic,0.00,70.00,13.30
Old Milwaukee Light,Old Milwaukee,domestic,0.04,114.00,8.30
Old Milwaukee Beer,Old Milwaukee,domestic,0.05,146.00,12.90
Olde English 800,MillerCoors,domestic,0.06,160.00,10.50
Olde English 800 7.5,MillerCoors,domestic,0.08,202.00,13.40
Olde English High Gravity 800,MillerCoors,domestic,0.08,220.00,14.60
Olympia Premium Lager,Pabst,domestic,0.05,146.00,11.90
Pabst Blue Ribbon,Pabst,domestic,0.05,144.00,12.01
Pabst Extra Light Low Alcohol,Pabst,domestic,0.03,67.00,
Pete’s Wicked Ale,,domestic,0.05,174.00,17.70
Red Dog,MillerCoors,domestic,0.05,147.00,14.10
Red Hook ESB,Red Hook,domestic,0.06,179.00,14.15
Red Hook IPA,Red Hook,domestic,0.07,188.00,12.66
Rolling Rock Extra Pale,Latrobe,domestic,0.05,142.00,
Rolling Rock Premium Beer,Latrobe,domestic,0.05,120.00,10.00
Sam Adams Boston Lager,Boston Beer,domestic,0.05,160.00,18.00
Sam Adams Boston Ale,Boston Beer,domestic,0.05,160.00,19.90
Sam Adams Cherry Wheat,Boston Beer,domestic,0.05,166.00,16.86
Sam Adams Cream Stout,Boston Beer,domestic,0.05,195.00,23.94
Sam Adams IPA,Boston Beer,domestic,0.06,175.00,
Sam Adams Light,Boston Beer,domestic,0.04,119.00,9.60
Sam Adams Pale Ale,Boston Beer,domestic,0.05,145.00,
Schaefer Beer,Pabst,domestic,0.05,142.00,12.00
Schlitz Beer,Pabst,domestic,0.05,146.00,12.10
Schlitz Light,Pabst,domestic,0.04,110.00,
Schlitz Malt Liquor,Pabst,domestic,0.06,185.00,
Sierra Nevada Anniversary Ale,Sierra Nevada,domestic,0.06,190.00,17.30
Sierra Nevada Bigfoot,Sierra Nevada,domestic,0.10,330.00,32.10
Sierra Nevada Celebration Ale,Sierra Nevada,domestic,0.07,214.00,19.40
Sierra Nevada Draft Ale,Sierra Nevada,domestic,0.05,157.00,13.40
Sierra Nevada Early Spring Beer,Sierra Nevada,domestic,0.06,190.00,16.70
Sierra Nevada Harvest Ale,Sierra Nevada,domestic,0.07,215.00,19.30
Sierra Nevada India Pale Ale,Sierra Nevada,domestic,0.07,231.00,20.00
Sierra Nevada Pale Ale,Sierra Nevada,domestic,0.06,175.00,14.10
Sierra Nevada Pale Bock,Sierra Nevada,domestic,0.07,218.00,19.70
Sierra Nevada Porter,Sierra Nevada,domestic,0.06,194.00,18.40
Sierra Nevada Stout,Sierra Nevada,domestic,0.06,225.00,22.30
Sierra Nevada Summerfest Beer,Sierra Nevada,domestic,0.05,158.00,13.70
Sierra Nevada Wheat Beer,Sierra Nevada,domestic,0.04,153.00,13.10
Signature Stroh Beer,Stroh’s,domestic,0.05,153.00,
Southpaw Light,MillerCoors,domestic,0.05,123.00,6.60
Steel Reserve,MillerCoors,domestic,0.08,222.00,16.00
Steel Reserve Triple Export,MillerCoors,domestic,0.08,222.00,16.00
Steel Reserve Six,MillerCoors,domestic,0.06,160.00,11.00
Stone River Double Bastard,Stone River Brewery,domestic,0.11,,
Stroh’s Beer,Stroh’s,domestic,0.05,149.00,12.00
Stroh’s Light,Stroh’s,domestic,0.04,113.00,7.00
Summit Horizon Red IPA,Summit Brewing,domestic,0.06,195.00,15.00
Summit Summer Ale,Summit Brewing,domestic,0.05,147.00,12.00
Tuborg Deluxe Dark Export,G. Heileman,domestic,0.05,163.00,
Tuborg Export Quality,G. Heileman,domestic,0.05,156.00,
Weinhard’s Private Reserve,MillerCoors,domestic,0.05,150.00,9.90
Weinhard’s Amber Light,MillerCoors,domestic,0.04,135.00,11.50
Weinhard’s Hefeweizen,MillerCoors,domestic,0.05,151.00,12.20
Weinhard’s Blonde Lager,MillerCoors,domestic,0.05,161.00,14.00
Weinhard’s Pale Ale,MillerCoors,domestic,0.05,147.00,13.00
Yuengling Ale,D.G. Yuengilng,domestic,0.05,145.00,10.00
Yuengling Porter,D.G. Yuengilng,domestic,0.05,150.00,14.00
Yuengling Premium Beer,D.G. Yuengling,domestic,0.04,135.00,12.00
Yuengling Light,D.G. Yuengling,domestic,0.04,98.00,6.60
Yuengling Lager,D.G. Yuengling,domestic,0.04,135.00,12.00
Amstel,Amstel Brouwerij B.V. (Holland),import,,,10.65
Amstel Light,Amstel Brouwerij B.V. (Holland),import,0.04,99.00,5.33
Asahi Draft Beer,Asahi (Japan),import,0.05,146.00,
Bass & Co’s Pale Ale,Bass (England),import,0.06,160.00,
Beamish Irish Cream Stout,Beamish – Crawford (Ireland),import,0.05,146.00,
Beck’s Beer,Brauerei Beck (Germany),import,0.05,143.00,10.00
Beck’s Light,Brauerei Beck (Germany),import,0.02,64.00,3.90
Beck’s Dark,Brauerei Beck (Germany),import,0.05,146.00,11.00
Czechver (Budvar),Budweiser Budvar,import,0.05,,
Carlsburg,na,import,,,7.80
Carlsburg Light,,import,,,9.90
Cerveza Carta Blanca,Cerveceria Cauhtemoc (Mexico),import,0.04,128.00,
Cerveza Tecate Beer,Cervecerla Cauhtemoc (Mexico),import,0.04,146.00,
Chester Golden A]e,Greenall Whitley (England),import,0.05,156.00,
Coopers Draught,Coopers,import,,,7.00
Coopers Stout,,import,,,10.90
Coopers Pale Ale,,import,,,5.90
Corona Extra Beer,Cereveria Modela SA (Mexico),import,0.05,148.00,13.99
Corona Light,Cereveria Modela SA (Mexico),import,,,5.00
Dos Equis XX Imported Beer,Cauhtemoc (Mexico),import,0.05,149.00,
Dos Equis XX Special Lager,Cerveceria Montezuma (Mexico),import,0.05,156.00,
Dragon Stout,Desnoes – Goeddes (Jamaica),import,0.07,220.00,
Foster’s Lager,Garlton & United (Australia),import,0.05,156.00,11.00
Furstenberg German Beer,Fustlich Ferstenbergische,import,0.04,138.00,
Great Wall,Green Bamboo (China),import,0.05,160.00,
Greenall’s Cheshire English Pub Beer,Greenall Whitley PLC (England),import,0.05,142.00,
Grolsch Lager Beer,Grolsch Bierbrouweri (Holland),import,0.05,145.00,9.50
Guiness Draught – Bottle,Guinness (Ireland),import,,126.00,9.90
Guinness Extra Stout,Guinness (Ireland),import,0.04,153.00,17.40
Harp,Harp (Ireland),import,0.05,142.00,
Heineken Lager Beer,Heineken (Holland),import,0.05,150.00,11.50
Heineken Special Dark Beer,Heineken (Holland),import,0.05,170.00,
Heineken Special Light,Heineken (Holland),import,0.04,99.00,6.80
Kirin Beer,Kirin (Japan),import,0.07,188.00,
Kronenbourg Beer,Kronenbourg (France),import,0.05,153.00,
Kronenbourg Imported Dark Beer,Kronenbourg (France),import,0.05,163.00,
Labatt’s 50,Labatt’s,import,0.05,153.00,9.90
McEwans Scotch Ale,Scottish & Newcastle (Scotland),import,0.10,295.00,
Molson Canadian Beer,Molson (Canada),import,0.05,153.00,
Molson Golden Beer,Molson (Canada),import,0.06,170.00,
Molson Light,Molson (Canada),import,0.02,82.00,
Moosehead Canadian Lager Beer,Moosehead (Canada),import,0.05,153.00,
Nordik Wolf Light,A.B. Pripps Bryggerier (Sweden),import,0.05,110.00,
O’Keefe Canadian Beer,O’Keefe (Canada),import,0.05,142.00,
Pilsener Urquell,Beer Pilsener Urquell Pilzen (Czech.),import,0.04,160.00,14.70
Red Stripe Lager Beer,Desnoes & Geddes (Jamaica),import,0.05,153.00,
Samuel Smith’s Organic Lager,Samuel Smith’s Brewery,import,0.05,158.00,13.30
Sheaf Stout,Carlton & United (Australia),import,0.05,174.00,18.80
Sol Cerveza Especial,Cerveceria Montezuma (Mexico),import,0.04,131.00,
Spaten Munich Special Dark Beer,Spaten-Brau (Germany),import,0.07,185.00,
Stella Artois,,import,0.05,,12.78
St. Pauli Girl Beer,St. Pauli (Germany),import,0.05,148.00,8.70
St. Pauli Girl Dark Beer,St. Pauli (Germany),import,0.05,150.00,
Suntory Draft Beer,Suntory (Japan),import,0.05,138.00,
Superior Imported Beer,Cerveceria Moctezuma (Mexico),import,0.04,153.00,
Thos Cooper & Sons Adelaide Lager,Cooper & Sons (Australia),import,0.04,128.00,
Thos Cooper & Sons Real Ale,Cooper & Sons (Australia),import,0.07,160.00,
Thos Cooper & Sons Stout,Cooper & Sons (Australia),import,0.07,205.00,
Tolly Origlnal Premium Ale,Tollei-ache & Cobbold (England),import,0.05,146.00,
Tsingtao Beer,Tsingtao (China),import,0.05,153.00,
Watney’s Red Barrel Beer,Stag (England),import,0.04,142.00,
Wurzburger Hofbrau,Wurtzburger Hofbrauag (Germany),import,0.05,160.00,
Wurtzburger Hofbrau Light,Wurtzburger Hofbrau Ag (Germany),import,0.05,153.00,