mode,state,percentage
Carpool,Alabama,9.9
Alone,Alabama,84.9
Public,Alabama,0.5
Other,Alabama,4.7
Carpool,Alaska,12.4
Alone,Alaska,68.2
Public,Alaska,1.9
Other,Alaska,17.5
Carpool,Arizona,11.6
Alone,Arizona,75.8
Public,Arizona,2
Other,Arizona,10.6
Carpool,Arkansas,10.3
Alone,Arkansas,82.7
Public,Arkansas,0.4
Other,Arkansas,6.6
Carpool,California,11.1
Alone,California,73.3
Public,California,5.2
Other,California,10.4
Carpool,Colorado,9.8
Alone,Colorado,75.5
Public,Colorado,3.1
Other,Colorado,11.6
Carpool,Connecticut,8.7
Alone,Connecticut,78.1
Public,Connecticut,4.7
Other,Connecticut,8.5
Carpool,Delaware,8.9
Alone,Delaware,81.1
Public,Delaware,3.3
Other,Delaware,6.7
Carpool,District of Columbia,6.5
Alone,District of Columbia,33.1
Public,District of Columbia,39.6
Other,District of Columbia,20.8
Carpool,Florida,9.9
Alone,Florida,79.7
Public,Florida,2.1
Other,Florida,8.3
Carpool,Georgia,10.5
Alone,Georgia,79.4
Public,Georgia,2.2
Other,Georgia,7.9
Carpool,Hawaii,14.2
Alone,Hawaii,67.1
Public,Hawaii,5.9
Other,Hawaii,12.8
Carpool,Idaho,9.8
Alone,Idaho,77.4
Public,Idaho,0.7
Other,Idaho,12.1
Carpool,Illinois,8.8
Alone,Illinois,73.3
Public,Illinois,9
Other,Illinois,8.9
Carpool,Indiana,8.8
Alone,Indiana,83.6
Public,Indiana,1.1
Other,Indiana,6.5
Carpool,Iowa,8.9
Alone,Iowa,80.5
Public,Iowa,1.1
Other,Iowa,9.5
Carpool,Kansas,10
Alone,Kansas,81.7
Public,Kansas,0.4
Other,Kansas,7.9
Carpool,Kentucky,9.5
Alone,Kentucky,83.1
Public,Kentucky,1.2
Other,Kentucky,6.2
Carpool,Louisiana,10.2
Alone,Louisiana,82.1
Public,Louisiana,1.3
Other,Louisiana,6.4
Carpool,Maine,9.9
Alone,Maine,78.8
Public,Maine,0.6
Other,Maine,10.7
Carpool,Maryland,10.1
Alone,Maryland,73.3
Public,Maryland,9.2
Other,Maryland,7.4
Carpool,Massachusetts,8.2
Alone,Massachusetts,72.2
Public,Massachusetts,8.9
Other,Massachusetts,10.7
Carpool,Michigan,9
Alone,Michigan,82.6
Public,Michigan,1.4
Other,Michigan,7
Carpool,Minnesota,9.3
Alone,Minnesota,77.7
Public,Minnesota,3.4
Other,Minnesota,9.6
Carpool,Mississippi,10.6
Alone,Mississippi,83.7
Public,Mississippi,0.4
Other,Mississippi,5.3
Carpool,Missouri,9.7
Alone,Missouri,81.4
Public,Missouri,1.4
Other,Missouri,7.5
Carpool,Montana,10.4
Alone,Montana,75.8
Public,Montana,0.9
Other,Montana,12.9
Carpool,Nebraska,9.3
Alone,Nebraska,81.3
Public,Nebraska,0.7
Other,Nebraska,8.7
Carpool,Nevada,11.1
Alone,Nevada,78.6
Public,Nevada,3.5
Other,Nevada,6.8
Carpool,New Hampshire,8.6
Alone,New Hampshire,80.6
Public,New Hampshire,0.7
Other,New Hampshire,10.1
Carpool,New Jersey,8.5
Alone,New Jersey,71.8
Public,New Jersey,11
Other,New Jersey,8.7
Carpool,New Mexico,10
Alone,New Mexico,79.3
Public,New Mexico,1.1
Other,New Mexico,9.6
Carpool,New York,6.7
Alone,New York,53.9
Public,New York,27
Other,New York,12.4
Carpool,North Carolina,9.9
Alone,North Carolina,81
Public,North Carolina,1.2
Other,North Carolina,7.9
Carpool,North Dakota,9.5
Alone,North Dakota,79.1
Public,North Dakota,0.4
Other,North Dakota,11
Carpool,Ohio,8.2
Alone,Ohio,83.3
Public,Ohio,1.7
Other,Ohio,6.8
Carpool,Oklahoma,10.9
Alone,Oklahoma,81.9
Public,Oklahoma,0.5
Other,Oklahoma,6.7
Carpool,Oregon,10.2
Alone,Oregon,71.8
Public,Oregon,4.3
Other,Oregon,13.7
Carpool,Pennsylvania,9.1
Alone,Pennsylvania,76.6
Public,Pennsylvania,5.3
Other,Pennsylvania,9
Carpool,Puerto Rico,8.8
Alone,Puerto Rico,80.1
Public,Puerto Rico,2.9
Other,Puerto Rico,8.2
Carpool,Rhode Island,8.6
Alone,Rhode Island,80.3
Public,Rhode Island,3.1
Other,Rhode Island,8
Carpool,South Carolina,9.3
Alone,South Carolina,82.3
Public,South Carolina,0.7
Other,South Carolina,7.7
Carpool,South Dakota,10
Alone,South Dakota,78
Public,South Dakota,0.7
Other,South Dakota,11.3
Carpool,Tennessee,9.4
Alone,Tennessee,84
Public,Tennessee,0.9
Other,Tennessee,5.7
Carpool,Texas,11.1
Alone,Texas,79.8
Public,Texas,1.6
Other,Texas,7.5
Carpool,Utah,12
Alone,Utah,76.5
Public,Utah,2.4
Other,Utah,9.1
Carpool,Vermont,9.9
Alone,Vermont,74.3
Public,Vermont,1.4
Other,Vermont,14.4
Carpool,Virginia,9.2
Alone,Virginia,78.1
Public,Virginia,4.5
Other,Virginia,8.2
Carpool,Washington,10.2
Alone,Washington,73.3
Public,Washington,5.6
Other,Washington,10.9
Carpool,West Virginia,10.5
Alone,West Virginia,82.1
Public,West Virginia,0.9
Other,West Virginia,6.5
Carpool,Wisconsin,8.9
Alone,Wisconsin,79.8
Public,Wisconsin,2
Other,Wisconsin,9.3
Carpool,Wyoming,10.9
Alone,Wyoming,77.7
Public,Wyoming,1.5
Other,Wyoming,9.9